id,title,body,insta_url,media_id
1,망남에선 새벽 4시가 아침,"망남리의 하루는 다른 마을보다 조금 일찍 시작합니다. 새벽 4시, 어촌계장님이 첫 손전등을 켜고 가두리로 나가시거든요. 우리가 잠든 사이에도 바다는 일하고, 어르신들도 일하십니다. 오늘 아침 어판은 또 어떨지, 함께 기다려 봅니다. 🌊

🔗 망남전복 직거래 — 프로필 링크

#망남마을 #망남전복 #완도 #완도전복 #어촌일기 #새벽바다 #어촌풍경 #산지직송 #어촌신활력 #슬로우라이프",,
2,숫자로 보는 망남마을,"81세대 145명이 살아가는 작은 어촌. 그런데 이 마을이 완도읍 전복의 80%를 책임집니다. 가두리 35ha · 12,145칸 · 연 420톤. 새벽 4시부터 시작되는 부지런함 위에 쌓인 숫자예요. 카드뉴스 한 장씩 넘겨보세요.

🔗 망남마을 소개 — 프로필 링크

#망남마을 #완도전복 #어촌계 #로컬리스트 #어촌신활력 #지방소멸 #로컬크리에이터 #숫자로보는 #완도여행 #남도여행",,
3,"캐러셀 — 가두리에서 식탁까지, 망남전복의 하루","가두리에서 식탁까지 단 24시간. 새벽 분망 → 선별 → 손질 → 포장 → 발송 → 도착 → 시식. 오늘 도시의 식탁에 오른 전복은 어제 망남 바다에 있었어요. 이게 산지직송이 만드는 차이입니다. 슬라이드를 넘겨보세요.

🔗 활전복 1kg부터 — 프로필 링크

#망남전복 #산지직송 #완도전복 #전복요리 #직거래 #1일배송 #어촌계 #로컬푸드 #완도 #망남마을",,
4,분망 작업하는 어르신의 손,"전복 한 마리를 옮겨 담는 데도 30년 경력이 들어갑니다. 분망은 작은 가두리에서 큰 가두리로 옮기는 작업. 무릎으로 자세 잡고, 손끝으로 등급 나누고. '손이 알아서 한다'는 어르신 말씀이 진짜였어요. 🙌

🔗 망남전복 산지직송 — 프로필 링크

#망남마을 #어촌계 #분망 #전복양식 #어르신의손 #완도 #어촌일기 #장인정신 #지역경제 #로컬리스트",,
5,오늘 망남항 풍경,"흐린 날의 망남항. 비 오는 부두 한쪽에 통발과 부표가 빼곡합니다. 어선이 들어오는 시간을 기다리는 풍경, 어쩐지 마음이 차분해져요. 어업의 일상은 이런 잠시의 기다림으로 채워져 있어요.

🔗 망남마을 둘러보기 — 프로필 링크

#망남마을 #망남항 #완도 #어촌풍경 #어촌일기 #남도여행 #완도여행 #슬로우라이프 #일상 #바다",,
6,왜 망남전복이 다른가요? — 청정 1등급 해역,"망남리는 해양생태도 1등급 권역에 있어요. 가두리 옆에서 다시마와 미역이 자생하고, 전복은 그걸 그대로 먹고 자랍니다. 사료 의존도 낮고 맛은 깊고. 환경이 곧 품질이라는 말, 여기선 진짜예요.

🔗 망남전복 구매 — 프로필 링크

#망남전복 #청정해역 #1등급 #완도 #해양생태 #자연산 #양식장 #로컬푸드 #지속가능 #산지직송",,
7,릴스 — 갯벌에서 만난 어머니의 손,"물 빠진 갯벌을 한 발씩 걸으며, 어머니 한 분이 무언가를 담고 계셨어요. 평생 이 바다에서 살아오신 분의 손은 갯벌의 색을 닮아 있었습니다. 30초만 가만히 봐주세요. 망남의 바다가 어떻게 살아있는지.

🔗 갯벌 생태체험 — 프로필 링크

#망남마을 #갯벌 #어머니의손 #완도 #해녀 #어촌일기 #슬로우라이프 #로컬리스트 #남도여행 #릴스",,
8,함께 짓는 마을 식탁,"주민자치회 회의가 끝나면 항상 함께 점심을 먹어요. 오늘은 어머니 셋이 모여 미역국을 끓이셨습니다. 갓 손질한 전복 살이 들어간 미역국. 한 그릇으로 어떤 회의보다 더 많은 이야기가 오갑니다. 🍲

🔗 망남마을 이야기 — 프로필 링크

#망남마을 #공동식사 #마을밥상 #어촌계 #완도 #로컬푸드 #전복미역국 #어촌일기 #식문화 #슬로우라이프",,
9,한눈에 보는 망남전복 6종,"활전복부터 가공품까지, 망남전복 라인업을 한 카드뉴스로 정리했어요. ① 활전복 ② 전복장 ③ 전복분말 ④ 밀키트 ⑤ 전복김 ⑥ 선물세트. 사진 6장에 가격까지 담았습니다. 마음에 드는 거 댓글로 알려주세요.

🔗 6종 라인업 보기 — 프로필 링크

#망남전복 #전복요리 #전복장 #전복죽 #밀키트 #전복김 #선물세트 #산지직송 #완도전복 #로컬푸드",,
10,캐러셀 — 별내위스테이 직거래 다녀왔어요,"지난 5월, 남양주 별내위스테이 단지에 망남마을 부스를 차렸습니다. 200세대 넘게 다녀가셨고, 30분 만에 활전복이 다 팔렸어요. 도시와 어촌이 만나는 이런 자리가 더 많아지길 바랍니다. 슬라이드 넘기면 현장 사진들 있어요.

🔗 우리 단지에도 부스 신청 — 프로필 링크

#망남마을 #직거래 #별내위스테이 #남양주 #공동구매 #산지직송 #도시공동체 #로컬리스트 #완도전복 #어촌신활력",,
